Line1,Station1,Station2,7
Line2,Station2,Station3,7
Line3,Station3,Station4,9
Line4,Station4,Station5,9
Line5,Station5,Station6,1
Line6,Station6,Station7,4
Line7,Station7,Station8,1
Line8,Station8,Station9,1
Line9,Station9,Station10,2
Line10,Station10,Station11,6
Line11,Station11,Station12,1
Line12,Station12,Station13,4
Line13,Station13,Station14,5
Line14,Station14,Station15,2
Line15,Station15,Station16,2
Line16,Station16,Station17,8
Line17,Station17,Station18,9
Line18,Station18,Station19,8
Line19,Station19,Station20,1
Line20,Station20,Station21,2
Line21,Station21,Station22,3
Line22,Station22,Station23,9
Line23,Station23,Station24,8
Line24,Station24,Station25,1
Line25,Station25,Station26,5
Line26,Station26,Station27,6
Line27,Station27,Station28,9
Line28,Station28,Station29,5
Line29,Station29,Station30,2
Line30,Station30,Station31,8
Line31,Station31,Station32,2
Line32,Station32,Station33,3
Line33,Station33,Station34,7
Line34,Station34,Station35,4
Line35,Station35,Station36,8
Line36,Station36,Station37,6
Line37,Station37,Station38,7
Line38,Station38,Station39,3
Line39,Station39,Station40,2
Line40,Station40,Station41,9
Line41,Station41,Station42,9
Line42,Station42,Station43,8
Line43,Station43,Station44,8
Line44,Station44,Station45,9
Line45,Station45,Station46,4
Line46,Station46,Station47,3
Line47,Station47,Station48,4
Line48,Station48,Station49,1
Line49,Station49,Station50,5
Line50,Station50,Station51,9
Line51,Station51,Station52,3
Line52,Station52,Station53,8
Line53,Station53,Station54,7
Line54,Station54,Station55,8
Line55,Station55,Station56,6
Line56,Station56,Station57,1
Line57,Station57,Station58,8
Line58,Station58,Station59,9
Line59,Station59,Station60,6
Line60,Station60,Station61,7
Line61,Station61,Station62,9
Line62,Station62,Station63,2
Line63,Station63,Station64,8
Line64,Station64,Station65,9
Line65,Station65,Station66,6
Line66,Station66,Station67,7
Line67,Station67,Station68,5
Line68,Station68,Station69,1
Line69,Station69,Station70,4
Line70,Station70,Station71,9
Line71,Station71,Station72,5
Line72,Station72,Station73,8
Line73,Station73,Station74,9
Line74,Station74,Station75,5
Line75,Station75,Station76,2
Line76,Station76,Station77,9
Line77,Station77,Station78,2
Line78,Station78,Station79,7
Line79,Station79,Station80,2
Line80,Station80,Station81,6
Line81,Station81,Station82,8
Line82,Station82,Station83,3
Line83,Station83,Station84,8
Line84,Station84,Station85,4
Line85,Station85,Station86,2
Line86,Station86,Station87,1
Line87,Station87,Station88,6
Line88,Station88,Station89,5
Line89,Station89,Station90,4
Line90,Station90,Station91,2
Line91,Station91,Station92,9
Line92,Station92,Station93,1
Line93,Station93,Station94,1
Line94,Station94,Station95,7
Line95,Station95,Station96,5
Line96,Station96,Station97,6
Line97,Station97,Station98,6
Line98,Station98,Station99,8
Line99,Station99,Station100,7
