Line1,Station1,Station2,2
Line2,Station1,Station3,1
Line3,Station1,Station4,7
Line4,Station1,Station5,8
Line5,Station1,Station6,8
Line6,Station1,Station7,2
Line7,Station1,Station8,9
Line8,Station1,Station9,2
Line9,Station1,Station10,8
Line10,Station1,Station11,1
Line11,Station1,Station12,5
Line12,Station1,Station13,5
Line13,Station1,Station14,9
Line14,Station1,Station15,7
Line15,Station1,Station16,6
Line16,Station1,Station17,1
Line17,Station1,Station18,3
Line18,Station1,Station19,4
Line19,Station1,Station20,3
Line20,Station1,Station21,7
Line21,Station1,Station22,4
Line22,Station1,Station23,5
Line23,Station1,Station24,8
Line24,Station1,Station25,4
Line25,Station1,Station26,6
Line26,Station1,Station27,3
Line27,Station1,Station28,4
Line28,Station1,Station29,6
Line29,Station1,Station30,3
Line30,Station1,Station31,5
Line31,Station1,Station32,4
Line32,Station1,Station33,3
Line33,Station1,Station34,4
Line34,Station1,Station35,4
Line35,Station1,Station36,7
Line36,Station1,Station37,1
Line37,Station1,Station38,6
Line38,Station1,Station39,4
Line39,Station1,Station40,5
Line40,Station1,Station41,3
Line41,Station1,Station42,2
Line42,Station1,Station43,1
Line43,Station1,Station44,8
Line44,Station1,Station45,4
Line45,Station1,Station46,8
Line46,Station1,Station47,6
Line47,Station1,Station48,5
Line48,Station1,Station49,5
Line49,Station1,Station50,3
Line50,Station1,Station51,3
Line51,Station1,Station52,2
Line52,Station1,Station53,4
Line53,Station1,Station54,4
Line54,Station1,Station55,9
Line55,Station1,Station56,1
Line56,Station1,Station57,2
Line57,Station1,Station58,7
Line58,Station1,Station59,8
Line59,Station1,Station60,9
Line60,Station1,Station61,3
Line61,Station1,Station62,4
Line62,Station1,Station63,1
Line63,Station1,Station64,1
Line64,Station1,Station65,9
Line65,Station1,Station66,4
Line66,Station1,Station67,5
Line67,Station1,Station68,7
Line68,Station1,Station69,6
Line69,Station1,Station70,7
Line70,Station1,Station71,8
Line71,Station1,Station72,8
Line72,Station1,Station73,6
Line73,Station1,Station74,2
Line74,Station1,Station75,1
Line75,Station1,Station76,9
Line76,Station1,Station77,2
Line77,Station1,Station78,9
Line78,Station1,Station79,5
Line79,Station1,Station80,4
Line80,Station1,Station81,2
Line81,Station1,Station82,6
Line82,Station1,Station83,1
Line83,Station1,Station84,7
Line84,Station1,Station85,2
